FrameIndex,Fish0_x,Fish0_y,Fish1_x,Fish1_y,Behavior,Fish0_moving_distance,Fish1_moving_distance,Fish0_moving_direction,Fish1_moving_direction
12005,416,824,615,804,5,12.17,25.32,0,0
12006,418,836,590,808,5,12.65,24.74,0,0
12007,422,848,566,814,5,16.28,43.01,0,0
12008,438,851,525,827,5,16.03,35.11,0,0
12009,454,850,492,839,5,23.54,16.16,0,0
12010,477,845,477,845,5,19.24,19.24,0,0
12011,496,842,496,842,5,39.56,8.06,0,0
12012,533,828,503,846,5,36.4,9.43,0,0
12013,567,815,498,854,0,28.18,16.28,0,0
12014,592,802,486,865,0,5.0,8.06,0,0
12015,595,798,487,873,0,7.07,10.0,0,0
12016,588,799,493,881,0,10.05,12.21,0,0
12017,578,800,503,888,0,14.56,13.15,0,0
12018,564,804,516,890,0,14.56,13.04,0,0
12019,550,808,529,889,0,12.65,12.04,0,0
12020,538,812,541,888,0,11.7,9.06,0,0
12021,527,816,550,887,0,15.52,9.0,0,0
12022,512,820,559,887,0,16.49,8.06,0,0
12023,496,824,567,886,0,16.49,10.0,0,0
12024,480,828,577,886,0,9.85,13.0,0,0
12025,471,832,590,886,0,13.93,16.28,0,0
12026,458,837,606,883,0,11.4,16.76,0,0
12027,447,840,622,878,0,9.22,13.93,0,0
12028,438,842,635,873,0,5.83,7.62,0,0
12029,433,845,642,870,0,14.87,5.39,0,0
12030,419,850,647,868,0,14.87,4.47,0,0
12031,405,855,651,866,0,14.56,3.0,0,0
12032,391,859,654,866,0,2.24,3.61,0,0
12033,390,857,657,864,0,6.08,5.0,0,0
12034,389,851,657,859,0,8.06,10.82,0,0
12035,390,843,651,850,0,8.06,15.26,0,0
12036,389,835,638,842,0,10.0,18.97,0,0
12037,389,825,620,836,0,7.07,17.72,0,0
12038,388,818,603,831,0,7.0,16.49,0,0
12039,388,811,587,827,0,6.08,18.68,0,0
12040,389,805,569,822,0,8.06,19.65,0,0
12041,390,797,550,817,0,25.32,37.36,0,0
12042,415,793,514,807,0,32.0,51.24,0,0
12043,447,793,465,792,0,18.44,30.08,0,0
12044,465,789,437,781,0,11.31,12.04,0,0
12045,457,781,429,772,0,22.02,12.08,0,0
12046,440,767,440,767,0,18.38,8.94,0,0
12047,447,750,432,763,0,21.4,11.7,0,0
12048,460,733,421,759,0,23.35,17.89,0,0
12049,477,717,405,751,0,15.0,19.42,0,0
12050,489,708,394,735,0,12.08,13.34,0,0
12051,494,697,391,722,0,12.0,8.6,0,0
12052,494,685,396,715,0,10.44,14.87,0,0
12053,491,675,410,710,0,7.81,23.02,0,0
12054,486,669,433,709,0,7.62,30.07,0,0
12055,479,666,463,711,0,14.0,25.5,0,0
12056,465,666,488,716,3,32.28,17.46,0,0
12057,434,675,505,720,3,39.82,12.17,0,0
12058,399,694,517,722,3,35.0,6.32,0,0
12059,371,715,523,724,3,17.46,1.41,0,0
12060,364,731,524,725,3,9.49,5.66,0,0
12061,367,740,520,729,3,9.22,6.4,0,0
12062,374,746,515,733,3,23.02,28.44,0,0
12063,397,747,487,738,3,19.03,28.28,0,0
12064,416,746,459,742,3,17.0,26.31,0,0
12065,433,746,433,746,3,5.66,5.66,0,0
12066,429,750,429,750,3,5.66,5.66,0,0
12067,425,754,425,754,3,11.4,11.4,0,0
12068,414,757,414,757,3,6.08,6.08,0,0
12069,408,758,408,758,3,6.4,15.03,0,0
12070,413,762,393,757,3,7.62,11.4,0,0
12071,420,765,384,750,3,6.0,9.22,0,0
12072,420,771,378,743,3,13.93,9.43,0,0
12073,407,776,386,738,3,11.18,15.52,0,0
12074,397,781,401,734,3,2.83,17.12,0,0
12075,399,783,418,732,3,26.83,22.36,0,0
12076,423,771,440,736,3,43.86,31.02,0,0
12077,463,753,471,737,0,25.61,61.66,0,0
12078,483,737,532,728,5,12.81,65.79,0,0
12079,493,729,594,706,5,3.16,56.8,0,0
12080,492,726,645,681,5,16.28,25.63,0,0
12081,508,723,654,657,5,14.04,26.17,0,0
12082,522,722,635,639,5,14.04,38.08,0,0
12083,536,723,598,630,5,14.14,43.05,0,0
12084,550,725,555,632,5,12.17,33.96,0,0
12085,562,727,522,640,5,14.14,28.79,0,0
12086,576,729,495,650,5,12.04,25.5,0,0
12087,588,730,472,661,5,6.08,26.4,0,0
12088,594,731,448,672,5,5.39,26.83,0,0
12089,589,733,424,684,5,12.65,22.83,0,0
12090,577,737,404,695,5,18.44,20.25,0,0
12091,559,741,387,706,5,20.22,17.69,0,0
12092,539,744,374,718,5,21.21,12.81,0,0
12093,518,747,366,728,5,17.26,10.63,0,0
12094,501,750,359,736,5,17.46,8.6,0,0
12095,484,754,354,743,5,17.46,7.07,0,0
12096,467,758,349,748,5,18.97,3.16,0,0
12097,449,764,348,751,5,14.87,2.24,0,0
12098,435,769,349,749,5,23.19,11.05,0,0
12099,412,766,360,750,5,18.44,9.22,0,0
12100,394,762,369,752,5,13.45,19.21,0,0
12101,385,752,384,764,5,17.12,10.77,0,0
12102,402,750,388,774,5,35.01,9.06,0,0
12103,437,749,389,783,5,43.57,6.71,0,0
12104,480,756,383,786,5,48.84,5.39,0,0
12105,528,765,378,788,5,36.5,5.0,0,0
12106,564,771,373,788,5,22.2,1.0,0,0
12107,586,768,374,788,5,12.37,8.25,0,0
12108,589,756,382,786,5,16.76,18.44,0,0
12109,584,740,400,782,5,14.32,19.65,0,0
12110,578,727,419,777,5,12.04,20.25,0,0
12111,577,715,438,770,5,10.44,16.76,0,0
12112,574,705,454,765,5,7.07,15.81,0,0
12113,573,698,469,760,5,7.21,13.34,0,0
12114,567,694,482,757,5,11.4,10.2,0,0
12115,556,691,492,755,5,15.3,10.05,0,0
12116,541,688,502,754,5,14.04,9.06,0,0
12117,527,687,511,753,5,11.05,9.06,0,0
12118,516,688,520,752,5,11.18,8.0,0,0
12119,505,690,528,752,5,32.2,9.06,0,0
12120,476,704,537,753,5,42.19,12.0,0,0
12121,440,726,549,753,5,46.04,12.08,0,0
12122,402,752,560,748,5,30.61,13.04,0,0
12123,378,771,567,737,5,22.02,13.15,0,0
12124,361,785,565,724,5,17.2,10.63,0,0
12125,351,799,557,717,5,13.34,13.15,0,0
12126,348,812,544,715,5,17.12,13.04,0,0
12127,350,829,531,716,5,11.7,12.65,0,0
12128,354,840,519,720,5,11.7,11.18,0,0
12129,358,851,509,725,0,6.32,10.82,0,0
12130,360,857,500,731,0,11.7,10.3,0,0
12131,364,868,491,736,0,10.44,11.18,0,0
12132,367,878,481,741,0,12.53,16.16,0,0
12133,373,889,466,747,0,8.94,18.03,0,0
12134,377,897,449,753,0,12.81,16.16,0,0
12135,385,907,434,759,0,11.4,13.0,0,0
12136,392,916,422,764,0,13.6,12.08,0,0
12137,400,927,411,769,0,3.16,9.85,0,0
12138,401,930,402,773,0,7.0,10.3,0,0
12139,401,937,393,778,0,4.12,8.94,0,0
12140,397,936,385,782,0,2.24,7.21,0,0
12141,395,937,379,786,0,5.83,10.3,0,0
12142,392,932,370,791,0,2.24,11.31,0,0
12143,391,934,362,799,0,2.83,12.21,0,0
12144,389,936,355,809,0,2.83,9.06,0,0
12145,387,938,354,818,0,8.06,8.06,0,0
12146,380,942,355,826,0,6.4,7.07,0,0
12147,376,947,356,833,0,5.0,7.07,0,0
12148,371,947,357,840,0,6.71,8.49,0,0
12149,368,941,363,846,0,11.0,14.32,0,0
12150,368,930,376,852,0,24.41,20.81,0,0
12151,382,910,393,864,0,39.12,9.43,0,0
12152,415,889,388,872,0,43.57,15.23,0,0
12153,452,866,374,878,0,58.87,17.0,0,0
12154,507,845,389,870,0,54.78,36.35,0,0
12155,558,825,425,865,0,40.85,38.21,0,0
12156,596,810,463,861,0,6.4,11.18,0,0
12157,601,806,474,863,0,7.28,13.34,0,0
12158,594,808,487,866,0,8.54,12.37,0,0
12159,586,811,499,869,0,13.0,14.14,0,0
12160,574,816,513,871,0,13.42,19.0,0,0
12161,562,822,532,871,0,16.16,25.02,0,0
12162,547,828,557,870,0,14.76,21.02,0,0
12163,534,835,578,869,0,15.65,17.03,0,0
12164,520,842,595,868,0,15.26,14.0,0,0
12165,507,850,609,868,0,11.66,13.04,0,0
12166,497,856,622,869,0,11.7,13.15,0,0
12167,486,860,635,867,0,9.22,9.85,0,0
12168,477,862,644,863,0,10.05,7.07,0,0
12169,467,863,649,858,0,10.0,3.0,0,0
12170,457,863,649,855,0,10.05,3.61,0,0
12171,447,864,647,852,0,13.04,3.0,0,0
12172,434,863,647,849,0,11.18,2.0,0,0
12173,423,861,647,847,0,10.77,4.0,0,0
12174,413,857,647,843,0,7.81,4.12,0,0
12175,407,852,646,839,0,5.66,7.28,0,0
12176,403,848,644,832,0,5.39,6.71,0,0
