VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,normal,10223,10275,3,1069.2,10.52,14.21,2.24,1.0,19.1,39.01,536.6,724.65,-188.05,7,9,128,-328,0.17,180.0,8.07,124.82
1-14,normal,1381,1388,3,995.34,30.57,45.16,22.36,12.0,43.05,69.43,183.42,270.96,-87.54,183,-7,-131,205,0.14,146.01,10.3,101.43
1-14,normal,1178,1354,3,2453.29,41.32,41.54,0.0,0.0,151.0,809.36,7231.78,7269.02,-37.24,-426,55,-675,13,0.23,180.0,0.0,106.95
1-14,normal,27616,27670,3,2955.69,21.54,9.26,4.0,0.0,44.91,53.46,1141.45,490.65,650.8,-580,226,350,115,0.37,180.0,1.98,94.7
1-14,normal,27911,27957,3,4820.57,7.38,22.38,2.0,9.22,25.0,43.1,332.29,1007.16,-674.87,127,96,-451,-7,0.43,180.0,5.5,103.11
1-14,normal,24505,24537,3,1008.85,11.97,15.72,2.0,0.0,43.32,48.05,371.17,487.17,-116.0,-18,-65,-322,58,0.16,180.0,8.15,134.6
1-14,normal,1130,1165,3,3234.23,36.02,41.25,0.0,0.0,135.45,166.05,1224.76,1402.51,-177.75,987,66,1,112,0.26,180.0,0.0,98.49
1-14,normal,584,690,3,650.95,16.42,20.27,0.0,0.0,113.76,193.0,1723.89,2128.08,-404.19,-89,-95,-144,-190,0.49,180.0,0.0,76.31
1-14,normal,1645,1682,3,822.54,21.59,37.35,3.61,1.0,76.94,153.39,777.38,1344.6,-567.22,652,-280,855,-301,0.73,180.0,1.81,60.41
1-14,normal,24401,24504,3,1680.2,19.21,20.21,0.0,1.0,58.03,75.43,1959.33,2060.91,-101.58,43,53,428,85,0.5,180.0,1.15,87.81
1-14,normal,18168,18196,3,1734.63,15.93,15.62,9.06,1.0,36.06,27.29,430.06,421.73,8.33,423,-39,-192,-36,0.29,180.0,3.34,119.95
1-14,normal,3012,3030,3,696.05,14.47,10.78,2.24,3.0,30.59,23.41,245.91,183.2,62.71,-43,124,125,23,0.78,180.0,2.56,72.94
1-14,normal,10121,10165,3,1292.83,16.98,22.98,5.83,4.0,35.0,47.0,730.15,988.08,-257.93,396,102,154,-3,0.11,180.0,27.9,139.1
1-14,normal,7131,7200,3,1231.8,10.84,10.07,0.0,2.0,26.0,22.14,736.93,684.68,52.25,715,-21,551,9,0.81,145.98,0.0,35.3
1-14,normal,14913,14955,3,2710.88,15.25,25.32,1.0,1.0,28.02,54.59,625.06,1038.32,-413.26,102,39,-473,455,0.67,180.0,0.81,66.72
1-14,normal,15022,15099,3,2072.52,21.94,26.04,2.0,1.0,63.29,81.05,1667.59,1978.99,-311.4,-145,-59,-115,256,0.62,180.0,0.0,68.49
1-14,normal,3626,3649,3,528.9,12.26,10.79,1.0,0.0,42.43,80.4,269.68,237.46,32.22,120,161,-21,-54,0.35,180.0,0.0,86.8
1-14,normal,19795,19852,3,3227.28,21.99,11.65,3.0,0.0,49.04,31.89,1231.44,652.27,579.17,283,-26,-452,250,0.44,176.66,2.14,89.65
1-14,normal,3581,3591,3,132.17,11.5,6.94,0.0,0.0,74.33,13.04,103.48,62.44,41.04,90,23,55,-7,0.3,100.85,7.11,74.1
1-14,normal,20425,20467,3,2128.31,8.81,18.16,1.0,0.0,20.02,45.69,361.04,744.66,-383.62,309,-14,294,-41,0.55,178.85,0.81,81.89
1-14,normal,20489,20514,3,1412.72,10.9,24.08,1.0,9.85,21.1,57.56,261.49,578.01,-316.52,154,9,-315,219,0.36,179.19,21.33,111.66
1-14,normal,20594,20618,3,1620.9,24.65,13.63,7.62,2.24,48.08,24.08,566.94,313.41,253.53,-532,-98,304,0,0.04,175.56,71.57,147.36
1-14,normal,21708,21758,3,1114.85,19.86,14.41,0.0,1.0,45.01,44.01,973.35,705.95,267.4,-276,-15,-423,133,0.16,178.6,0.0,123.05
1-14,normal,21774,21834,3,1612.02,10.23,31.29,2.0,0.0,23.0,100.02,603.41,1845.93,-1242.52,-497,16,-63,-118,0.38,180.0,0.0,107.56
1-14,normal,21867,21953,3,2449.15,13.22,14.61,0.0,1.0,33.38,33.02,1123.71,1241.5,-117.79,-122,43,471,-1,0.29,180.0,0.0,115.38
1-14,normal,3234,3299,3,877.03,10.29,15.0,0.0,1.0,85.0,100.45,658.53,959.74,-301.21,82,46,249,73,0.35,180.0,0.0,83.73
1-14,normal,3046,3078,3,844.87,18.87,22.93,0.0,2.24,34.37,77.08,584.83,710.72,-125.89,498,99,165,236,0.47,173.72,0.0,88.04
1-14,normal,2969,3000,3,717.96,16.99,28.6,0.0,1.0,40.72,105.04,509.82,858.12,-348.3,-473,-21,-517,159,0.32,180.0,0.0,92.05
1-14,normal,500,519,3,873.74,25.71,23.16,1.41,0.0,43.86,93.77,462.76,416.93,45.83,-373,264,161,-70,0.32,177.19,15.76,107.5
1-22_2nd,bite,680,720,0,381.61,19.97,25.93,0.0,0.0,58.6,95.19,778.82,1011.46,-232.64,-218,106,-54,-47,0.25,180.0,0.0,114.87
1-22_2nd,bite,15978,15992,0,794.98,27.21,27.65,2.0,0.0,82.01,132.77,353.78,359.45,-5.67,-342,-66,337,6,0.14,180.0,74.44,143.22
1-22_2nd,bite,15230,15246,0,528.99,32.55,25.49,10.63,4.0,68.43,114.76,488.24,382.34,105.9,-462,105,-359,-54,0.94,90.0,3.71,29.35
1-22_2nd,bite,12520,12540,0,312.51,34.08,25.38,10.63,2.0,99.14,73.39,647.5,482.15,165.35,-254,-263,-313,-98,0.45,177.71,2.56,92.71
1-22_2nd,bite,4277,4323,0,823.56,31.89,20.48,0.0,0.0,111.65,77.1,1435.05,921.6,513.45,136,-73,-48,-80,0.52,178.85,0.0,51.05
1-22_2nd,bite,16946,16963,0,599.71,33.69,40.58,1.0,12.04,115.0,110.26,539.09,649.23,-110.14,-244,255,60,385,0.71,165.49,9.46,71.19
1-22_2nd,bite,4101,4154,0,1029.41,18.66,26.85,0.0,0.0,74.63,113.46,970.52,1396.4,-425.88,163,-99,196,-3,0.3,178.38,0.0,101.36
1-22_2nd,bite,3882,3933,0,520.85,21.32,22.36,0.0,0.0,65.46,88.87,1065.9,1117.88,-51.98,-45,186,-146,285,0.22,173.36,0.0,85.92
1-22_2nd,bite,735,840,0,825.31,28.81,21.92,0.0,0.0,126.59,117.0,2996.67,2279.21,717.46,-139,85,-294,200,0.25,180.0,0.0,105.58
1-22_2nd,bite,3093,3152,0,546.63,17.63,14.45,0.0,0.0,83.36,111.07,1022.4,838.34,184.06,202,-53,289,82,0.32,180.0,0.0,85.73
