VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-22_2nd,bite,15230,15246,0,526.63,32.42,25.39,17.12,7.21,47.54,59.44,486.29,380.91,105.38,-462,109,-357,-56,0.94,95.54,2.56,31.62
1-22_2nd,bite,12520,12540,0,312.51,33.37,24.92,15.81,5.83,81.15,62.63,633.94,473.44,160.5,-249,-261,-308,-99,0.45,180.0,5.44,95.94
1-22_2nd,bite,4277,4323,0,812.5,30.78,19.49,5.1,2.83,80.41,37.12,1384.9,877.15,507.75,137,-73,-55,-82,0.5,173.17,0.0,55.98
1-22_2nd,bite,16946,16963,0,578.79,32.28,38.31,4.47,17.09,78.39,66.71,516.53,612.9,-96.37,-247,253,63,385,0.71,162.21,0.0,65.35
1-22_2nd,bite,4101,4154,0,966.02,19.48,25.32,2.24,2.24,58.22,71.12,1012.74,1316.76,-304.02,164,-97,235,-25,0.36,177.31,8.54,107.89
1-22_2nd,bite,3882,3933,0,508.62,20.82,22.02,0.0,1.0,51.0,44.92,1040.94,1100.93,-59.99,-6,181,-145,280,0.25,171.69,0.0,90.13
1-22_2nd,bite,735,840,0,793.4,28.2,21.3,1.41,1.41,78.64,75.66,2932.63,2215.42,717.21,-130,83,-298,196,0.32,180.0,0.0,109.63
1-22_2nd,bite,3093,3152,0,532.6,17.33,14.91,1.41,1.41,48.05,55.32,1005.04,865.06,139.98,202,-56,284,82,0.46,178.19,0.0,84.76
1-22_2nd,chase,13685,13742,1,729.27,36.65,39.98,3.0,5.39,103.75,78.45,2052.34,2238.62,-186.28,640,64,367,175,0.67,174.62,0.0,60.68
1-22_2nd,chase,16117,16140,1,671.84,29.77,24.36,15.23,14.14,43.42,47.8,655.03,535.88,119.15,645,-40,529,-40,0.91,167.93,0.0,17.69
1-22_2nd,chase,16372,16388,1,265.37,35.76,31.46,11.31,14.21,87.21,67.62,536.42,471.95,64.47,340,12,386,-82,0.38,156.21,0.0,79.4
1-22_2nd,chase,15150,15165,1,2162.89,49.79,23.51,17.49,12.37,76.58,43.83,697.06,329.2,367.86,-564,90,303,29,0.0,176.2,111.53,139.03
1-22_2nd,normal,11453,11525,3,1683.83,22.6,18.11,1.0,6.4,43.05,33.53,1604.81,1285.95,318.86,-511,177,46,-27,0.29,180.0,2.92,126.01
1-22_2nd,normal,15253,15294,3,1411.92,18.33,8.82,2.83,2.24,37.66,17.12,733.02,352.76,380.26,529,4,18,17,0.44,177.71,1.62,96.91
1-22_2nd,normal,15523,15589,3,2762.1,19.88,11.0,8.94,1.0,36.67,23.0,1292.05,714.93,577.12,404,150,-170,82,0.12,180.0,5.44,140.03
1-22_2nd,normal,15628,15674,3,1329.48,23.11,11.58,10.05,1.41,43.46,20.88,1040.02,521.01,519.01,-416,-137,-232,220,0.28,180.0,1.62,109.64
