VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,normal,2605,2644,3,596.24,14.13,19.8,3.16,2.0,45.31,73.06,536.88,752.52,-215.64,0,-158,-214,-123,0.46,176.66,0.0,91.52
1-14,normal,25736,25776,3,2925.66,22.38,15.27,6.32,6.08,48.47,35.13,872.93,595.56,277.37,242,222,523,187,0.53,175.64,3.97,72.97
1-14,normal,2177,2221,3,858.19,26.56,16.27,3.61,4.47,75.01,33.6,1142.28,699.4,442.88,-495,-249,-375,-144,0.59,179.19,3.34,92.01
1-14,normal,10223,10275,3,1066.85,10.64,14.55,2.24,3.61,19.24,39.12,542.64,742.15,-199.51,7,8,128,-330,0.17,178.85,8.07,124.57
1-14,normal,1381,1388,3,1006.08,30.58,50.52,22.36,30.68,43.1,69.43,183.49,303.1,-119.61,183,-7,-131,205,0.14,147.33,8.74,104.5
1-14,normal,1178,1354,3,2308.44,46.41,53.16,0.0,0.0,256.86,923.52,8121.06,9302.42,-1181.36,-426,60,-662,20,0.27,180.0,0.0,99.24
1-14,normal,27616,27670,3,2954.55,21.65,10.16,4.12,2.83,45.31,53.46,1147.63,538.37,609.26,-580,226,350,115,0.35,180.0,1.98,95.32
1-14,normal,27911,27957,3,4821.83,7.53,22.64,2.24,9.22,25.02,43.1,338.75,1018.91,-680.16,127,97,-451,-7,0.41,180.0,0.0,99.68
1-14,normal,24505,24537,3,1013.99,13.45,16.19,2.83,4.0,46.53,48.05,416.9,501.74,-84.84,-12,-65,-327,58,0.19,178.19,9.21,135.87
1-14,normal,1130,1165,3,3264.71,45.7,72.94,0.0,2.24,239.41,592.71,1553.64,2480.1,-926.46,987,83,3,91,0.23,179.19,0.0,94.61
