VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-22_2nd,normal,10420,10505,3,2818.23,12.74,25.9,1.0,3.61,42.54,58.05,1069.76,2175.27,-1105.51,-582,34,286,-178,0.16,178.19,0.0,125.17
1-22_2nd,normal,10341,10389,3,2519.88,21.58,11.59,1.0,2.24,45.04,23.41,1014.07,544.56,469.51,-53,11,117,132,0.65,180.0,2.14,90.88
1-22_2nd,normal,9644,9689,3,3133.62,16.5,19.97,1.0,7.07,42.3,35.01,726.14,878.58,-152.44,44,24,-519,-52,0.22,178.38,1.81,132.38
1-22_2nd,normal,9041,9076,3,2658.67,28.38,16.73,7.07,10.0,47.27,33.42,964.77,568.77,396.0,-745,100,48,130,0.4,180.0,2.14,97.12
1-22_2nd,normal,10898,10958,3,2652.57,22.2,18.9,1.41,6.08,38.05,34.48,1309.98,1115.21,194.77,1031,-83,13,151,0.58,180.0,0.0,71.69
1-22_2nd,normal,15183,15225,3,2482.53,25.85,11.57,7.81,3.61,42.3,38.83,1059.98,474.41,585.57,364,-235,8,-57,0.95,57.78,0.0,21.72
1-22_2nd,normal,14801,14869,3,2063.85,17.92,18.8,3.16,7.81,42.58,31.4,1200.54,1259.8,-59.26,-75,59,197,61,0.18,179.19,4.8,136.95
1-22_2nd,normal,14507,14573,3,6788.11,10.92,18.84,0.0,5.0,24.19,31.3,709.96,1224.54,-514.58,-123,94,532,-336,0.55,178.19,0.0,78.77
1-22_2nd,normal,14390,14465,3,1577.26,18.65,24.53,7.0,3.61,40.26,45.71,1380.31,1815.01,-434.7,-80,-216,27,25,0.27,179.19,1.15,124.99
1-22_2nd,normal,12011,12114,3,2504.99,21.23,17.83,6.32,6.32,32.14,46.87,2165.15,1818.98,346.17,-82,135,302,68,0.51,180.0,2.69,91.09
1-22_2nd,normal,13577,13626,3,2434.19,7.46,18.87,1.41,0.0,15.03,41.44,358.04,905.57,-547.53,-110,63,-17,-199,0.51,168.7,0.0,86.36
1-22_2nd,normal,13200,13290,3,1716.34,15.27,17.91,0.0,1.0,33.96,35.13,1358.68,1593.8,-235.12,4,13,397,142,0.83,167.8,0.0,40.65
1-22_2nd,normal,12467,12508,3,4698.18,12.13,19.09,2.83,4.0,19.03,34.71,485.09,763.51,-278.42,22,84,-279,137,0.02,178.85,45.0,147.35
1-22_2nd,normal,12831,12964,3,2140.15,14.52,19.59,1.0,2.0,46.86,72.56,1916.34,2585.92,-669.58,149,38,142,12,0.58,180.0,0.0,77.19
1-22_2nd,normal,12549,12649,3,3714.65,15.28,17.39,1.0,2.0,25.18,33.24,1512.41,1721.24,-208.83,189,186,-149,57,0.45,180.0,0.0,96.57
1-22_2nd,normal,12766,12805,3,1661.5,16.02,15.74,1.0,4.47,33.54,27.02,608.66,598.0,10.66,-235,-33,557,73,0.21,180.0,24.7,129.93
1-22_2nd,normal,8649,8684,3,3147.41,17.64,30.93,6.0,9.06,30.59,53.15,599.89,1051.49,-451.6,-63,-24,-398,137,0.0,180.0,108.43,154.46
1-22_2nd,normal,7484,7545,3,2697.37,22.72,32.11,5.66,2.83,70.06,91.05,1363.24,1926.3,-563.06,-1061,-103,-53,-60,0.67,177.71,1.15,76.83
1-22_2nd,normal,11893,11942,3,2287.76,30.7,9.05,9.22,0.0,52.24,23.71,1473.6,434.36,1039.24,-71,-145,323,-87,0.37,178.38,1.81,112.63
1-22_2nd,normal,8670,8756,3,3021.02,16.62,18.08,1.0,3.61,35.0,34.23,1413.06,1536.61,-123.55,-146,-18,517,-2,0.19,180.0,0.0,128.49
